i_data = 00000000, o_parity_bit = 0, o_parity_error = 0
i_data = 00101101, o_parity_bit = 0, o_parity_error = 0
i_data = 00101110, o_parity_bit = 0, o_parity_error = 0
i_data = 00101111, o_parity_bit = 1, o_parity_error = 0
i_data = 00110000, o_parity_bit = 0, o_parity_error = 0
i_data = 00110001, o_parity_bit = 1, o_parity_error = 0
i_data = 00110010, o_parity_bit = 1, o_parity_error = 0
i_data = 00110011, o_parity_bit = 0, o_parity_error = 0
i_data = 00110100, o_parity_bit = 1, o_parity_error = 0
i_data = 00110101, o_parity_bit = 0, o_parity_error = 0
i_data = 00110110, o_parity_bit = 0, o_parity_error = 0
i_data = 00110111, o_parity_bit = 1, o_parity_error = 0
i_data = 00111000, o_parity_bit = 1, o_parity_error = 0
i_data = 00111001, o_parity_bit = 0, o_parity_error = 0
i_data = 00111010, o_parity_bit = 0, o_parity_error = 0
i_data = 00111011, o_parity_bit = 1, o_parity_error = 0
i_data = 00111100, o_parity_bit = 0, o_parity_error = 0
i_data = 00111101, o_parity_bit = 1, o_parity_error = 0
i_data = 00111110, o_parity_bit = 1, o_parity_error = 0
i_data = 00111111, o_parity_bit = 0, o_parity_error = 0
i_data = 01000000, o_parity_bit = 1, o_parity_error = 0
i_data = 01000001, o_parity_bit = 0, o_parity_error = 0
i_data = 01000010, o_parity_bit = 0, o_parity_error = 0
i_data = 01000011, o_parity_bit = 1, o_parity_error = 0
i_data = 01000100, o_parity_bit = 0, o_parity_error = 0
i_data = 01000101, o_parity_bit = 1, o_parity_error = 0
i_data = 01000110, o_parity_bit = 1, o_parity_error = 0
i_data = 01000111, o_parity_bit = 0, o_parity_error = 0
i_data = 01001000, o_parity_bit = 0, o_parity_error = 0
i_data = 01001001, o_parity_bit = 1, o_parity_error = 0
i_data = 01001010, o_parity_bit = 1, o_parity_error = 0
i_data = 01001011, o_parity_bit = 0, o_parity_error = 0
i_data = 01001100, o_parity_bit = 1, o_parity_error = 0
i_data = 01001101, o_parity_bit = 0, o_parity_error = 0
i_data = 01001110, o_parity_bit = 0, o_parity_error = 0
i_data = 01001111, o_parity_bit = 1, o_parity_error = 0
i_data = 01010000, o_parity_bit = 0, o_parity_error = 0
i_data = 01010001, o_parity_bit = 1, o_parity_error = 0
i_data = 01010010, o_parity_bit = 1, o_parity_error = 0
i_data = 01010011, o_parity_bit = 0, o_parity_error = 0
i_data = 01010100, o_parity_bit = 1, o_parity_error = 0
i_data = 01010101, o_parity_bit = 0, o_parity_error = 0
i_data = 01010110, o_parity_bit = 0, o_parity_error = 0
i_data = 01010111, o_parity_bit = 1, o_parity_error = 0
i_data = 01011000, o_parity_bit = 1, o_parity_error = 0
i_data = 01011001, o_parity_bit = 0, o_parity_error = 0
i_data = 01011010, o_parity_bit = 0, o_parity_error = 0
i_data = 01011011, o_parity_bit = 1, o_parity_error = 0
i_data = 01011100, o_parity_bit = 0, o_parity_error = 0
i_data = 01011101, o_parity_bit = 1, o_parity_error = 0
i_data = 01011110, o_parity_bit = 1, o_parity_error = 0
i_data = 01011111, o_parity_bit = 0, o_parity_error = 0
i_data = 01100000, o_parity_bit = 0, o_parity_error = 0
i_data = 01100001, o_parity_bit = 1, o_parity_error = 0
i_data = 01100010, o_parity_bit = 1, o_parity_error = 0
i_data = 01100011, o_parity_bit = 0, o_parity_error = 0
i_data = 01100100, o_parity_bit = 1, o_parity_error = 0
i_data = 01100101, o_parity_bit = 0, o_parity_error = 0
i_data = 01100110, o_parity_bit = 0, o_parity_error = 0
i_data = 01100111, o_parity_bit = 1, o_parity_error = 0
i_data = 01101000, o_parity_bit = 1, o_parity_error = 0
i_data = 01101001, o_parity_bit = 0, o_parity_error = 0
i_data = 01101010, o_parity_bit = 0, o_parity_error = 0
i_data = 01101011, o_parity_bit = 1, o_parity_error = 0
i_data = 01101100, o_parity_bit = 0, o_parity_error = 0
i_data = 01101101, o_parity_bit = 1, o_parity_error = 0
i_data = 01101110, o_parity_bit = 1, o_parity_error = 0
i_data = 01101111, o_parity_bit = 0, o_parity_error = 0
i_data = 01110000, o_parity_bit = 1, o_parity_error = 0
i_data = 01110001, o_parity_bit = 0, o_parity_error = 0
i_data = 01110010, o_parity_bit = 0, o_parity_error = 0
i_data = 01110011, o_parity_bit = 1, o_parity_error = 0
i_data = 01110100, o_parity_bit = 0, o_parity_error = 0
i_data = 01110101, o_parity_bit = 1, o_parity_error = 0
i_data = 01110110, o_parity_bit = 1, o_parity_error = 0
i_data = 01110111, o_parity_bit = 0, o_parity_error = 0
i_data = 01111000, o_parity_bit = 0, o_parity_error = 0
i_data = 01111001, o_parity_bit = 1, o_parity_error = 0
i_data = 01111010, o_parity_bit = 1, o_parity_error = 0
i_data = 01111011, o_parity_bit = 0, o_parity_error = 0
i_data = 01111100, o_parity_bit = 1, o_parity_error = 0
i_data = 01111101, o_parity_bit = 0, o_parity_error = 0
i_data = 01111110, o_parity_bit = 0, o_parity_error = 0
i_data = 01111111, o_parity_bit = 1, o_parity_error = 0
i_data = 10000000, o_parity_bit = 1, o_parity_error = 0
i_data = 10000001, o_parity_bit = 0, o_parity_error = 0
i_data = 10000010, o_parity_bit = 0, o_parity_error = 0
i_data = 10000011, o_parity_bit = 1, o_parity_error = 0
i_data = 10000100, o_parity_bit = 0, o_parity_error = 0
i_data = 10000101, o_parity_bit = 1, o_parity_error = 0
i_data = 10000110, o_parity_bit = 1, o_parity_error = 0
i_data = 10000111, o_parity_bit = 0, o_parity_error = 0
i_data = 10001000, o_parity_bit = 0, o_parity_error = 0
i_data = 10001001, o_parity_bit = 1, o_parity_error = 0
i_data = 10001010, o_parity_bit = 1, o_parity_error = 0
i_data = 10001011, o_parity_bit = 0, o_parity_error = 0
i_data = 10001100, o_parity_bit = 1, o_parity_error = 0
i_data = 10001101, o_parity_bit = 0, o_parity_error = 0
i_data = 10001110, o_parity_bit = 0, o_parity_error = 0
i_data = 10001111, o_parity_bit = 1, o_parity_error = 0
i_data = 10010000, o_parity_bit = 0, o_parity_error = 0
i_data = 10010001, o_parity_bit = 1, o_parity_error = 0
i_data = 10010010, o_parity_bit = 1, o_parity_error = 0
i_data = 10010011, o_parity_bit = 0, o_parity_error = 0
i_data = 10010100, o_parity_bit = 1, o_parity_error = 0
i_data = 10010101, o_parity_bit = 0, o_parity_error = 0
i_data = 10010110, o_parity_bit = 0, o_parity_error = 0
i_data = 10010111, o_parity_bit = 1, o_parity_error = 0
i_data = 10011000, o_parity_bit = 1, o_parity_error = 0
i_data = 10011001, o_parity_bit = 0, o_parity_error = 0
i_data = 10011010, o_parity_bit = 0, o_parity_error = 0
i_data = 10011011, o_parity_bit = 1, o_parity_error = 0
i_data = 10011100, o_parity_bit = 0, o_parity_error = 0
i_data = 10011101, o_parity_bit = 1, o_parity_error = 0
i_data = 10011110, o_parity_bit = 1, o_parity_error = 0
i_data = 10011111, o_parity_bit = 0, o_parity_error = 0
i_data = 10100000, o_parity_bit = 0, o_parity_error = 0
i_data = 10100001, o_parity_bit = 1, o_parity_error = 0
i_data = 10100010, o_parity_bit = 1, o_parity_error = 0
i_data = 10100011, o_parity_bit = 0, o_parity_error = 0
i_data = 10100100, o_parity_bit = 1, o_parity_error = 0
i_data = 10100101, o_parity_bit = 0, o_parity_error = 0
i_data = 10100110, o_parity_bit = 0, o_parity_error = 0
i_data = 10100111, o_parity_bit = 1, o_parity_error = 0
i_data = 10101000, o_parity_bit = 1, o_parity_error = 0
i_data = 10101001, o_parity_bit = 0, o_parity_error = 0
i_data = 10101010, o_parity_bit = 0, o_parity_error = 0
i_data = 10101011, o_parity_bit = 1, o_parity_error = 0
i_data = 10101100, o_parity_bit = 0, o_parity_error = 0
i_data = 10101101, o_parity_bit = 1, o_parity_error = 0
i_data = 10101110, o_parity_bit = 1, o_parity_error = 0
i_data = 10101111, o_parity_bit = 0, o_parity_error = 0
i_data = 10110000, o_parity_bit = 1, o_parity_error = 0
i_data = 10110001, o_parity_bit = 0, o_parity_error = 0
i_data = 10110010, o_parity_bit = 0, o_parity_error = 0
i_data = 10110011, o_parity_bit = 1, o_parity_error = 0
i_data = 10110100, o_parity_bit = 0, o_parity_error = 0
i_data = 10110101, o_parity_bit = 1, o_parity_error = 0
i_data = 10110110, o_parity_bit = 1, o_parity_error = 0
i_data = 10110111, o_parity_bit = 0, o_parity_error = 0
i_data = 10111000, o_parity_bit = 0, o_parity_error = 0
i_data = 10111001, o_parity_bit = 1, o_parity_error = 0
i_data = 10111010, o_parity_bit = 1, o_parity_error = 0
i_data = 10111011, o_parity_bit = 0, o_parity_error = 0
i_data = 10111100, o_parity_bit = 1, o_parity_error = 0
i_data = 10111101, o_parity_bit = 0, o_parity_error = 0
i_data = 10111110, o_parity_bit = 0, o_parity_error = 0
i_data = 10111111, o_parity_bit = 1, o_parity_error = 0
i_data = 11000000, o_parity_bit = 0, o_parity_error = 0
i_data = 11000001, o_parity_bit = 1, o_parity_error = 0
i_data = 11000010, o_parity_bit = 1, o_parity_error = 0
i_data = 11000011, o_parity_bit = 0, o_parity_error = 0
i_data = 11000100, o_parity_bit = 1, o_parity_error = 0
i_data = 11000101, o_parity_bit = 0, o_parity_error = 0
i_data = 11000110, o_parity_bit = 0, o_parity_error = 0
i_data = 11000111, o_parity_bit = 1, o_parity_error = 0
i_data = 11001000, o_parity_bit = 1, o_parity_error = 0
i_data = 11001001, o_parity_bit = 0, o_parity_error = 0
i_data = 11001010, o_parity_bit = 0, o_parity_error = 0
i_data = 11001011, o_parity_bit = 1, o_parity_error = 0
i_data = 11001100, o_parity_bit = 0, o_parity_error = 0
i_data = 11001101, o_parity_bit = 1, o_parity_error = 0
i_data = 11001110, o_parity_bit = 1, o_parity_error = 0
i_data = 11001111, o_parity_bit = 0, o_parity_error = 0
i_data = 11010000, o_parity_bit = 1, o_parity_error = 0
i_data = 11010001, o_parity_bit = 0, o_parity_error = 0
i_data = 11010010, o_parity_bit = 0, o_parity_error = 0
i_data = 11010011, o_parity_bit = 1, o_parity_error = 0
i_data = 11010100, o_parity_bit = 0, o_parity_error = 0
i_data = 11010101, o_parity_bit = 1, o_parity_error = 0
i_data = 11010110, o_parity_bit = 1, o_parity_error = 0
i_data = 11010111, o_parity_bit = 0, o_parity_error = 0
i_data = 11011000, o_parity_bit = 0, o_parity_error = 0
i_data = 11011001, o_parity_bit = 1, o_parity_error = 0
i_data = 11011010, o_parity_bit = 1, o_parity_error = 0
i_data = 11011011, o_parity_bit = 0, o_parity_error = 0
i_data = 11011100, o_parity_bit = 1, o_parity_error = 0
i_data = 11011101, o_parity_bit = 0, o_parity_error = 0
i_data = 11011110, o_parity_bit = 0, o_parity_error = 0
i_data = 11011111, o_parity_bit = 1, o_parity_error = 0
i_data = 11100000, o_parity_bit = 1, o_parity_error = 0
i_data = 11100001, o_parity_bit = 0, o_parity_error = 0
i_data = 11100010, o_parity_bit = 0, o_parity_error = 0
i_data = 11100011, o_parity_bit = 1, o_parity_error = 0
i_data = 11100100, o_parity_bit = 0, o_parity_error = 0
i_data = 11100101, o_parity_bit = 1, o_parity_error = 0
i_data = 11100110, o_parity_bit = 1, o_parity_error = 0
i_data = 11100111, o_parity_bit = 0, o_parity_error = 0
i_data = 11101000, o_parity_bit = 0, o_parity_error = 0
i_data = 11101001, o_parity_bit = 1, o_parity_error = 0
i_data = 11101010, o_parity_bit = 1, o_parity_error = 0
i_data = 11101011, o_parity_bit = 0, o_parity_error = 0
i_data = 11101100, o_parity_bit = 1, o_parity_error = 0
i_data = 11101101, o_parity_bit = 0, o_parity_error = 0
i_data = 11101110, o_parity_bit = 0, o_parity_error = 0
i_data = 11101111, o_parity_bit = 1, o_parity_error = 0
i_data = 11110000, o_parity_bit = 0, o_parity_error = 0
i_data = 11110001, o_parity_bit = 1, o_parity_error = 0
i_data = 11110010, o_parity_bit = 1, o_parity_error = 0
i_data = 11110011, o_parity_bit = 0, o_parity_error = 0
i_data = 11110100, o_parity_bit = 1, o_parity_error = 0
i_data = 11110101, o_parity_bit = 0, o_parity_error = 0
i_data = 11110110, o_parity_bit = 0, o_parity_error = 0
i_data = 11110111, o_parity_bit = 1, o_parity_error = 0
i_data = 11111000, o_parity_bit = 1, o_parity_error = 0
i_data = 11111001, o_parity_bit = 0, o_parity_error = 0
i_data = 11111010, o_parity_bit = 0, o_parity_error = 0
i_data = 11111011, o_parity_bit = 1, o_parity_error = 0
i_data = 11111100, o_parity_bit = 0, o_parity_error = 0
i_data = 11111101, o_parity_bit = 1, o_parity_error = 0
i_data = 11111110, o_parity_bit = 1, o_parity_error = 0
i_data = 11111111, o_parity_bit = 0, o_parity_error = 0
